text,category
Python programming language variables loops functions classes,Programming
Java object oriented programming inheritance polymorphism interfaces,Programming
Machine learning neural networks deep learning tensorflow pytorch,AI
Artificial intelligence large language models transformers embeddings,AI
SQL database queries normalization joins indexing transactions,Database
PostgreSQL MySQL Oracle SQL Server relational database systems,Database
AWS EC2 S3 Lambda cloud deployment kubernetes docker,Cloud
Azure cloud virtual machines storage networking containers,Cloud
Linux shell scripting bash commands processes permissions,Operating Systems
Operating system scheduling memory management paging kernel,Operating Systems
Computer networking TCP IP routing switches VLAN DNS HTTP,Networking
Network protocols sockets firewall VPN load balancing,Networking
